country_name,country_code,indicator_name,indicator_code,Ano,Valor
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1960,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1960,"914,656"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1960,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1960,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1960,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1960,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1960,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1960,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1961,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1961,"914,656"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1961,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1961,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1961,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1961,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1961,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1961,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1962,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1962,"914,656"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1962,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1962,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1962,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1962,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1962,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1962,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1963,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1963,"914,656"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1963,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1963,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1963,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1963,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1963,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1963,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1964,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1964,"914,656"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1964,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1964,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1964,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1964,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1964,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1964,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1965,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1965,"1,100,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1965,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1965,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1965,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1965,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1965,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1965,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1966,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1966,"1,100,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1966,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1966,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1966,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1966,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1966,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1966,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1967,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1967,"1,100,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1967,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1967,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1967,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1967,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1967,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1967,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1968,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1968,"1,100,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1968,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1968,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1968,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1968,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1968,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1968,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1969,""
